Product,Products
11360786,"[11460988,12658430,12407340,11659026,12407534,12658446,12658276,12406964]"
11360798,"[11361000,11360716,13039536,11360800,11460916,13039098,12407738,11360708]"
11360800,"[11659742,13039434,11360756,12407646,11659706,11407434,12658248,11360716]"
11360810,"[13038980,13039906,11460784,11361062,12658402,13038966,11481068,11520042]"
11360812,"[11360904,11407268,13039626,11360868,11360892,11460914,11360878,12407038]"
11360820,"[11460854,11360824,13039882,11659044,12658476,14122818,11659990,13039848]"
11360824,"[11659026,12437180,12658374,14122762,12658386,12658316,12658360,12407626]"
11360828,"[11659326,11360862,11659246,11659334,12658674,11714492,11659042,11360956]"
11360846,"[12407548,12657682,12407554,12407536,11659178,11481060,12407312,12407098]"
11360848,"[11481060,13038932,12407308,12371328,11148980,12371330,12407306,12407304]"
11360854,"[11360942,12360450,11659840,13038968,13038946,12437220,11659034,12437408]"
11360858,"[12658096,12406922,12658310,12407444,12657788,13039772,11660068,11360824]"
11360860,"[12407648,12657534,12407496,12360428,12407792,13039146,12406960,11659730]"
11360862,"[11480982,11407178,11407150,11481056,12657552,11360828,11461030,11360962]"
11360868,"[12658390,11460904,13038974,11481058,11407198,12407870,11360886,12407592]"
11360870,"[12407318,12407448,11407404,11407408,13076264,12436886,11481054,13039726]"
11360872,"[13039088,11407160,13039892,11460746,11480992,13039084,11237250,13039068]"
11360874,"[12407790,11360912,11147300,12407446,11360906,12657804,12407550,12657652]"
11360878,"[11360880,13038888,12657740,12658326,11360886,11407274,11361018,11460676]"
11360880,"[11360878,12657734,11460676,11460904,12657726,11659578,13038888,12658390]"
11360882,"[12407526,11407208,13038966,12407852,11460806,11460686,12437212,11460608]"
11360884,"[13039884,11407404,12360460,11659300,12360414,11360868,13076264,11659852]"
11360886,"[13039146,12406872,13038974,12406938,12407792,13039884,11658968,12658390]"
11360892,"[12407738,11407268,11360812,12407868,13067870,11360916,11360904,11659248]"
11360894,"[11659064,11407364,12990082,13038880,12657614,12657628,14122744,13017332]"
11360904,"[11360812,13653604,11360916,11360884,11360892,12437218,12371376,12658270]"
11360906,"[12406872,11460786,12407910,11659302,12406862,12406938,12407946,12406874]"
11360912,"[11659300,11659282,11360874,11461044,11659312,11361050,11145684,11659302]"
11360916,"[13067870,11407216,11407274,11360904,11360892,11407268,13653604,11360884]"
11360924,"[11481054,11335964,11481068,11461004,12658490,11407412,11360996,11481092]"
11360928,"[11245912,13039086,13039092,11461006,11481076,14121828,12657788,11360934]"
11360932,"[12407232,11407350,11460614,11360704,11659218,11659776,11360928,12658462]"
11360934,"[14121836,13039084,13039890,11481076,13039094,11237206,14121822,11245912]"
11360942,"[11360854,11145654,11659608,12437288,11659524,12360450,11659342,11659602]"
11360952,"[11361042,11360924,13653664,11714538,11660006,13039776,12658674,13773574]"
11360956,"[12360420,11360828,11659326,11659246,11714492,11659054,11659334,11659520]"
11360962,"[12657552,12658404,11659564,11659750,12658266,11460910,11659576,12657368]"
11360964,"[11603822,11360780,11460780,12360448,13039586,11361062,11601876,13039726]"
11360966,"[11360708,12407796,11460916,12371254,13039742,13039150,11360778,11659830]"
11360968,"[12437218,12658246,12437408,12407760,11659578,13039640,12407814,11659934]"
11360974,"[13039078,14121822,13039094,11460678,11360976,14121824,13039784,12437342]"
11360976,"[14121824,11360974,13039784,13039760,12437236,12437200,12436848,12437472]"
11360986,"[12658360,12437180,11360824,13038988,12437158,12436542,12658316,12658410]"
11360988,"[11659218,12437230,11360976,11360738,11407350,12407596,13039784,13039760]"
11360990,"[11659200,11407102,11659902,12657656,11360768,11659252,12657650,12658226]"
11360994,"[11407120,12437422,12437340,11145740,12436648,12407912,12436574,12437288]"
11360996,"[13039818,12658490,11481054,12437090,13039776,13773578,12407826,13039484]"
11360998,"[11460916,11360708,11360776,11407434,12658426,11360778,11460984,11659830]"
11361000,"[13039536,11460676,11407178,12658326,13039098,11481056,11407268,11460926]"
11361010,"[11659250,11407274,11659248,11361018,12406900,11481088,12360438,12407770]"
11361018,"[11659250,11407274,11461036,11659248,11361010,11461020,13038942,12407750]"
11361042,"[11360952,11360924,13653674,11659610,13653664,11714580,11714576,11714538]"
11361044,"[11407218,11145602,11659942,11147546,13039496,12658430,12437204,12658334]"
11361046,"[13773578,13039396,11520042,11481054,11407280,11407350,13039484,13039044]"
11361050,"[11481086,11407356,11407180,11481090,11407212,11460766,12407914,11481050]"
11361054,"[13039808,11407416,13039850,11407114,13039396,11659236,11603822,12657750]"
11361056,"[12658536,12436976,12437196,12407636,13039760,11659590,11480994,12437222]"
11361058,"[13039764,12407760,12657750,11659934,11480978,11659872,11407278,12657728]"
11361060,"[11407266,13038828,11407186,13038854,12407636,12657744,13038962,12360398]"
11361062,"[11407154,11360810,11360728,13038980,12407872,11591770,12657432,11360964]"
11361064,"[12437306,12436542,12436460,11659328,12454404,11481078,12437308,11520046]"
11362286,"[13017338,13038684,12657550,11659130,12988632,12658212,11351668,13038884]"
11407098,"[13039094,13039744,13039092,12407394,13039066,14121830,11461010,13038850]"
11407102,"[11481088,11481006,11659902,11460762,11481086,11407212,11481050,12657650]"
11407112,"[11480984,11603804,12407448,12406892,11659812,13038978,11147312,12407864]"
11407114,"[12407444,12657724,13039532,12657762,12406922,12407716,12407594,12406920]"
11407116,"[12407028,11481056,11460608,11407182,11461012,11407194,11481088,11360862]"
11407120,"[12436574,11460756,11360994,11659344,12407912,12437288,12407832,14121826]"
11407122,"[13039456,11659466,13039070,13039452,11480994,12407348,11659144,12658490]"
11407128,"[11603828,11407172,11481008,11460788,12407228,11481092,11407170,11481084]"
11407134,"[11407140,13039408,12657410,12658102,12657506,11659454,12399312,12658228]"
11407138,"[12658000,11147250,13038992,12658234,12658204,11145642,12657370,11659610]"
11407140,"[11407134,13653702,11660134,13653534,11407436,12360404,13653646,12657438]"
11407142,"[13038900,12995894,13038872,12658154,13039402,12657624,12988652,12990076]"
11407150,"[11407178,11480982,11360862,11520046,11481056,11481080,11460788,11461012]"
11407152,"[12407228,11360780,12407420,11360964,12407230,11460746,11481084,11659686]"
11407154,"[11361062,11460678,11360728,11360810,11360974,13038980,12407872,12407794]"
11407158,"[12407484,12407304,11360688,12407356,12407306,11460742,12406910,12657684]"
11407160,"[11407208,13039454,13039068,14121840,14122766,11360872,11460806,12657558]"
11407162,"[11460784,12437092,12437376,11460806,12657558,13038966,12436738,12658402]"
11407168,"[13773580,11407224,12657648,13039070,14121846,11407212,12657564,11659020]"
11407170,"[11460766,11460788,11481020,11603828,11481084,11601876,11460746,11460762]"
11407172,"[11481076,11601876,11460788,11460678,11603828,12437472,11407236,11481090]"
11407178,"[11480982,11407150,11481056,11481080,11360862,11460608,12407878,11460788]"
11407180,"[12454404,11481082,11520046,11481068,11481078,13039452,12454400,12437426]"
11407182,"[11407216,11481008,11460608,12658270,11407116,11407194,11481056,12407398]"
11407186,"[13039850,11361060,11360868,11407266,13038976,12658390,11407172,11360884]"
11407194,"[11481088,11407216,11481050,11407182,11360862,13038888,12406862,11659882]"
11407196,"[12360456,11407416,12406894,12657736,12657734,11407278,12657746,12406926]"
11407198,"[11360868,11407404,12658390,12407826,11659812,12658680,12407498,12407502]"
11407204,"[11460990,11407318,11461004,13039452,11481054,12454400,12658490,11407180]"
11407206,"[11407254,11660194,11660068,13653542,11460698,11407248,11150078,12407370]"
11407208,"[11460806,11407160,13039454,12407526,13039452,11520044,14121844,14122766]"
11407212,"[11481086,11481054,11407168,11461020,11407102,11658970,11659466,12437228]"
11407216,"[11407182,11481088,11407194,11360916,11481050,11460676,11360862,11407150]"
11407218,"[11361044,11145684,13039026,11461038,11145762,11145600,11360912,11659302]"
11407222,"[12657690,12657568,12657564,12658564,11147312,11147292,12658188,11145666]"
11407224,"[12657564,12658584,11407168,13039070,12658184,12657680,13081772,11659020]"
11407226,"[14121846,14121826,13039400,12658478,12658024,12657534,12437440,12436450]"
11407236,"[11481076,11407172,13039066,11460788,11460806,14121836,13039454,11407160]"
11407238,"[11360652,11360672,11360662,13653542,11660246,11460698,11407248,11660068]"
11407242,"[11360784,11407280,12437308,12437028,12437316,12436786,12437380,11659326]"
11407244,"[13653530,13653526,13653566,11660206,12407204,13653534,11660146,13653578]"
11407246,"[11360644,13653542,13039752,13653620,13653602,11660246,13653618,12658072]"
11407248,"[11407254,11660068,11460698,13653542,11360642,11660246,11660194,11407206]"
11407254,"[11407248,11360642,11660068,11460698,11481104,11714696,11407206,11660194]"
11407256,"[11660084,11714694,11460708,11660198,11407290,11407298,11660126,13653556]"
11407262,"[13039760,12436786,12437236,11520042,12437200,12437138,12437182,12407880]"
11407264,"[11460926,13039538,12658464,11407272,12407692,12658258,11360722,11460894]"
11407266,"[11361060,11407236,12407794,11407154,11407186,12657744,11659776,12407760]"
11407268,"[12658326,13039098,11360892,13067870,11360812,11659294,11360880,11407430]"
11407270,"[11659222,12407840,11659218,12360426,13039408,14101712,13039034,11360652]"
11407272,"[12658350,12658426,12658364,13039436,12658232,12658254,11460986,11407264]"
11407274,"[11659248,11659250,11361010,11461030,12407750,11361018,11461034,12360438]"
11407278,"[11407196,12657746,13039764,11407422,12658486,12657750,12360456,11361058]"
11407280,"[11659934,11520042,11480994,11407434,11659036,12658266,12436790,13039456]"
11407282,"[12658426,12658226,11407280,11407204,12658350,11360862,11460914,11460608]"
11407290,"[11407256,11660126,11714694,11660084,12658060,11360674,11360648,11360672]"
11407298,"[11660084,13653682,11360654,11407340,11360662,13653632,11660222,13653646]"
11407316,"[11460716,13039464,13039368,12371318,12406876,11660128,12407510,11660144]"
11407318,"[12658220,11407204,11460990,13039468,13039902,12437426,11460780,13039452]"
11407324,"[12406920,12658400,11659044,12658414,11360820,12407772,12658458,12407444]"
11407340,"[11360662,11360654,13653646,11660142,11660112,11660084,11460708,11407298]"
11407344,"[12407426,11659036,12360408,11461036,13039064,11460792,11360756,12407646]"
11407350,"[12407232,11407318,11360662,11360932,12658146,11659218,11360704,12407030]"
11407356,"[11361050,11481050,11460802,11460612,11481068,12454404,11659300,11481076]"
11407364,"[12990082,13039930,13039404,11360894,11139194,12407276,13038880,12657614]"
11407366,"[13038886,12657616,11659066,12407624,12657372,12407022,12657626,12406976]"
11407368,"[12990080,12990076,13038872,13039402,12406978,12407272,12407492,12406980]"
11407372,"[11603770,11603772,12995876,11659418,11659362,12988602,12988606,11141324]"
11407374,"[12657626,12995894,13038900,11659104,12371314,12658154,13039464,11659108]"
11407376,"[12371260,12371300,11659106,12657756,12406876,12360376,12657620,11659102]"
11407382,"[12995880,12658690,12988604,12995878,11652758,12657644,13038920,13038916]"
11407388,"[13067402,11407392,11659138,11141308,11659362,11407372,11603772,14122744]"
11407392,"[11407388,13067402,11659138,11659418,11603770,11141308,11659362,11603772]"
11407394,"[13067404,11659360,11660048,11659362,11603772,11407372,13038906,11520046]"
11407398,"[11460914,11460936,12658426,13039098,11407268,11360916,11407216,12407836]"
11407400,"[11407400,11659438,11659004,11659448,11659444,11659626,11659964,11659670]"
11407404,"[13076266,11659300,11407406,12407238,11407410,11481068,11360728,11460780]"
11407406,"[13076266,13076264,11407408,11407404,11460784,11407410,11360886,12407238]"
11407408,"[13076264,11601876,11407406,13076266,13038976,13038966,13773572,13039884]"
11407410,"[11481092,11481068,11407404,13038966,12407448,11659812,11407406,12454404]"
11407412,"[11481092,11601876,11481082,11591770,11481006,13076264,11407408,11603836]"
11407416,"[11603822,11407196,13039106,12360456,12360452,13039618,13039764,12407698]"
11407422,"[13039636,13039096,11407278,13039102,11407262,11360974,11407154,12436566]"
11407430,"[13067870,11407268,13039106,12406886,13039098,11407216,12360452,11360916]"
11407432,"[11460936,12407670,12360426,11659252,13039384,12988638,11461040,12407374]"
11407434,"[11407280,11659742,11460984,11360776,12437184,12407646,11460916,11480994]"
11407436,"[12658584,12407538,11461012,11659420,12657650,11407168,14122750,11407224]"
11407468,"[12657894,12988640,11659568,12657704,13038150,11659596,11659972,13039812]"
11407476,"[12407892,11460978,11658978,12436754,11460926,12407508,12657742,11360882]"
11407478,"[11659986,14122748,11141644,13039932,11461062,13039568,13038152,13039514]"
11460598,"[11481084,11481090,11591770,11603828,11460746,11460762,12407794,11603836]"
11460608,"[11481056,11407178,11481080,11591770,11480982,12407878,11461004,11407102]"
11460612,"[11481074,11461008,11407356,11481072,12407854,11361050,11149026,11659282]"
11460614,"[11520044,11481072,11481068,11407208,11460752,11461004,11460806,12407526]"
11460670,"[11659586,12657596,13039398,11658948,11603832,11658968,12407780,11659438]"
11460672,"[12407340,12406948,13038892,12407342,12360398,13039468,12437088,12406990]"
11460676,"[11360880,12360394,11481050,11481056,12658326,11659250,11407216,11360862]"
11460678,"[11360974,12406928,13039078,13038980,11407172,11407154,11360810,14121822]"
11460680,"[13039882,12371348,11360820,12407772,14122822,12407488,12657540,11658950]"
11460682,"[11481008,12437474,11360780,11460780,11520046,12407228,12436542,11481070]"
11460686,"[12454404,11460806,11461004,11361064,11481068,11460780,11407180,11520046]"
11460696,"[11360654,11660162,13653556,13653674,11660212,11660222,13653682,13653696]"
11460698,"[11660068,13653542,11407254,11360642,11407248,11481104,11407206,13653682]"
11460702,"[11660212,11360660,13653666,11360654,13653694,11360666,11407298,11360640]"
11460708,"[11660084,11360654,11660136,13653556,11407340,11407256,11660110,13653664]"
11460710,"[13038720,13653590,13653578,13653666,13653556,13653528,13653534,11659642]"
11460716,"[11660080,11149964,13039368,11407316,12657872,12407014,11660128,12657794]"
